document_name,page_number,detection_type
F1968073.json,2,Deux Colonnes
F1968077.json,4,Deux Colonnes
F1968080.json,4,Ligne Horizontale (3+ layouts)
F1968081.json,7,Deux Colonnes
F1968081.json,11,Deux Colonnes
F1968083.json,4,Ligne Horizontale (3+ layouts)
F1968084.json,11,Deux Colonnes
F1968085.json,10,Deux Colonnes
F1968092.json,9,Deux Colonnes
F1968094.json,4,Deux Colonnes
F1968105.json,2,Deux Colonnes
F1968105.json,4,Deux Colonnes
F1968106.json,10,Deux Colonnes
F1969004.json,5,Deux Colonnes
F1969005.json,6,Deux Colonnes
F1969015.json,8,Ligne Horizontale (3+ layouts)
F1969018.json,5,Deux Colonnes
F1969020.json,2,Ligne Horizontale (3+ layouts)
F1969020.json,3,Deux Colonnes
F1969022.json,4,Deux Colonnes
F1969024.json,6,Ligne Horizontale (3+ layouts)
F1969026.json,4,Ligne Horizontale (3+ layouts)
F1969037.json,4,Deux Colonnes
F1969038.json,2,Deux Colonnes
F1969043.json,11,Deux Colonnes
F1969043.json,14,Deux Colonnes
F1969045.json,22,Deux Colonnes
F1969047.json,7,Ligne Horizontale (3+ layouts)
F1969048.json,2,Deux Colonnes
F1969048.json,4,Deux Colonnes
F1969049.json,9,Ligne Horizontale (3+ layouts)
F1969050.json,5,Deux Colonnes
F1969052.json,7,Deux Colonnes
F1969053.json,10,Deux Colonnes
F1969056.json,5,Ligne Horizontale (3+ layouts)
F1969056.json,7,Ligne Horizontale (3+ layouts)
F1969056.json,8,Ligne Horizontale (3+ layouts)
F1969058.json,4,Deux Colonnes
F1969060.json,5,Ligne Horizontale (3+ layouts)
F1969064.json,3,Ligne Horizontale (3+ layouts)
F1969064.json,6,Ligne Horizontale (3+ layouts)
F1969064.json,10,Deux Colonnes
F1969064.json,13,Ligne Horizontale (3+ layouts)
F1969066.json,7,Ligne Horizontale (3+ layouts)
F1969067.json,3,Ligne Horizontale (3+ layouts)
F1969067.json,6,Deux Colonnes
F1969067.json,7,Deux Colonnes
F1969067.json,9,Deux Colonnes
F1969067.json,10,Ligne Horizontale (3+ layouts)
F1969068.json,2,Ligne Horizontale (3+ layouts)
F1969068.json,13,Ligne Horizontale (3+ layouts)
F1969068.json,14,Deux Colonnes
F1969068.json,15,Deux Colonnes
F1969069.json,2,Deux Colonnes
F1969069.json,4,Deux Colonnes
F1969069.json,5,Ligne Horizontale (3+ layouts)
F1969069.json,13,Deux Colonnes
F1969069.json,14,Deux Colonnes
F1969069.json,21,Deux Colonnes
F1969070.json,10,Deux Colonnes
